
2025-05-07 08:11:31 - Procesando archivo: /tmp/php8yDBzQ
2025-05-07 08:11:33 - Total de filas en el archivo: 2967
2025-05-07 08:11:33 - Generando cuerpo del Excel
2025-05-07 08:11:33 - Generando fila para: Andrés Cruz (Fila Excel: 2)
2025-05-07 08:11:33 - Escribiendo cargo 'Delivery Support' en fila 2, columna 1
2025-05-07 08:11:33 - Escribiendo cargo 'Idle Driver Support' en fila 8, columna 1
2025-05-07 08:11:33 - Escribiendo nombre '' en fila 8, columna 2
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 3 (fecha 03/01/2025)
2025-05-07 08:11:33 - Escribiendo registro '10:00:00' en fila 8, columna 4 (fecha 03/02/2025)
2025-05-07 08:11:33 - Escribiendo registro '12:00:00' en fila 8, columna 5 (fecha 03/03/2025)
2025-05-07 08:11:33 - Escribiendo registro '12:00:00' en fila 8, columna 6 (fecha 03/04/2025)
2025-05-07 08:11:33 - Escribiendo registro '12:00:00' en fila 8, columna 7 (fecha 03/05/2025)
2025-05-07 08:11:33 - Escribiendo registro '12:01:00' en fila 8, columna 8 (fecha 03/06/2025)
2025-05-07 08:11:33 - Escribiendo registro '12:00:00' en fila 8, columna 9 (fecha 03/07/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 10 (fecha 03/08/2025)
2025-05-07 08:11:33 - Escribiendo registro '17:02:00' en fila 8, columna 11 (fecha 03/09/2025)
2025-05-07 08:11:33 - Escribiendo registro '12:00:00' en fila 8, columna 12 (fecha 03/10/2025)
2025-05-07 08:11:33 - Escribiendo registro '09:28:00' en fila 8, columna 13 (fecha 03/11/2025)
2025-05-07 08:11:33 - Escribiendo registro '12:00:00' en fila 8, columna 14 (fecha 03/12/2025)
2025-05-07 08:11:33 - Escribiendo registro '12:01:00' en fila 8, columna 15 (fecha 03/13/2025)
2025-05-07 08:11:33 - Escribiendo registro '12:01:00' en fila 8, columna 16 (fecha 03/14/2025)
2025-05-07 08:11:33 - Escribiendo registro '17:05:00' en fila 8, columna 17 (fecha 03/15/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 18 (fecha 03/16/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 19 (fecha 03/17/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 20 (fecha 03/18/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 21 (fecha 03/19/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 22 (fecha 03/20/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 23 (fecha 03/21/2025)
2025-05-07 08:11:33 - Escribiendo registro '12:00:00' en fila 8, columna 24 (fecha 03/22/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 25 (fecha 03/23/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 26 (fecha 03/24/2025)
